"filename", "language", "YAML", "JSON", "CMake", "C++", "Swift", "Dart", "comment", "blank", "total"
"c:\Users\Ivy\Downloads\Fultter\attempt1\firebase.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\assessment_generator.dart", "Dart", 0, 0, 0, 0, 0, 706, 60, 105, 871
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\dummy_data_generator.dart", "Dart", 0, 0, 0, 0, 0, 235, 34, 34, 303
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\group_generator.dart", "Dart", 0, 0, 0, 0, 0, 368, 38, 61, 467
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\social_generator.dart", "Dart", 0, 0, 0, 0, 0, 156, 17, 29, 202
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\submission_generator.dart", "Dart", 0, 0, 0, 0, 0, 505, 40, 83, 628
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\tag_generator.dart", "Dart", 0, 0, 0, 0, 0, 77, 11, 19, 107
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\user_generator.dart", "Dart", 0, 0, 0, 0, 0, 236, 31, 48, 315
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\log_level.dart", "Dart", 0, 0, 0, 0, 0, 9, 3, 3, 15
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\models\static_data.dart", "Dart", 0, 0, 0, 0, 0, 270, 21, 16, 307
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\ai_assistant_page.dart", "Dart", 0, 0, 0, 0, 0, 2861, 182, 237, 3280
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\ai_learning_page.dart", "Dart", 0, 0, 0, 0, 0, 624, 29, 20, 673
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_detail_page.dart", "Dart", 0, 0, 0, 0, 0, 1548, 106, 135, 1789
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\assessment_page.dart", "Dart", 0, 0, 0, 0, 0, 208, 17, 19, 244
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\dummy_data_generator.dart", "Dart", 0, 0, 0, 0, 0, 83, 26, 31, 140
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 870, 40, 36, 946
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\services\batch_manager.dart", "Dart", 0, 0, 0, 0, 0, 83, 11, 16, 110
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\file_utils.dart", "Dart", 0, 0, 0, 0, 0, 42, 8, 10, 60
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\utils\logging_utils.dart", "Dart", 0, 0, 0, 0, 0, 53, 10, 19, 82
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Ivy\Downloads\Fultter\attempt1\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Ivy\Downloads\Fultter\attempt1\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Ivy\Downloads\Fultter\attempt1\package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ivy\Downloads\Fultter\attempt1\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ivy\Downloads\Fultter\attempt1\pubspec.yaml", "YAML", 20, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\Ivy\Downloads\Fultter\attempt1\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 3
"Total", "-", 20, 47, 5, 17, 8, 8934, 685, 928, 10644
