"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\dummy_data_generator.dart", "Dart", -4, -266, -4, -274
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\find_friends_page.dart", "Dart", -2, -111, -17, -130
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_channels.dart", "Dart", 0, -12, 0, -12
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_members.dart", "Dart", 0, -26, 0, -26
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\group_page.dart", "Dart", 0, -26, 0, -26
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\pdf_viewer_screen.dart", "Dart", -1, -7, 0, -8
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\profile_setup_page.dart", "Dart", -1, -67, -43, -111
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_message.dart", "Dart", 0, -7, 0, -7
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\realtime_chat_service.dart", "Dart", 0, -40, 0, -40
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\signup_page.dart", "Dart", -11, -46, -30, -87
"c:\Users\Ivy\Downloads\Fultter\attempt1\lib\screens\startup_page.dart", "Dart", -4, -16, -11, -31
"Total", "-", -23, -624, -105, -752
